epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,24607.9,2.1116,0.42341,0.32257,1.15503,0.00342,0.00468,0.77357,0.54766,0.63288,0.33054,0,0,0,0,1.88812,0,2.25353,0.99751,0.00437,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,24923.2,2.10588,0.42261,0.32254,1.15317,0.0034,0.00726,0.77199,0.54847,0.63325,0.33023,0,0,0,0,1.88848,0,2.24925,0.99761,0.00437,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,25239.9,2.10088,0.41778,0.31712,1.15228,0.00346,0.00808,0.77219,0.54867,0.63364,0.33048,0,0,0,0,1.88734,0,2.24892,0.99672,0.00437,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,25554.9,2.11723,0.4254,0.32008,1.16385,0.00345,0.00749,0.77165,0.5484,0.63382,0.33066,0,0,0,0,1.88588,0,2.24814,0.99678,0.00436,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,25869.4,2.08739,0.41998,0.31677,1.14418,0.00341,0.00293,0.77297,0.54807,0.63401,0.33055,0,0,0,0,1.88696,0,2.25165,0.99708,0.00437,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,26184.9,2.09929,0.42964,0.3146,1.14973,0.00344,0.01324,0.77301,0.54837,0.63402,0.33103,0,0,0,0,1.88595,0,2.2564,0.998,0.00436,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,26498.6,2.11034,0.41827,0.31615,1.15475,0.00342,0.00488,0.77388,0.54834,0.63418,0.3311,0,0,0,0,1.88474,0,2.25971,0.99793,0.00436,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,26810.7,2.08932,0.4184,0.31473,1.14323,0.00342,0.00319,0.77309,0.54837,0.63403,0.33107,0,0,0,0,1.8846,0,2.26208,0.99759,0.00436,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,27121.2,2.09858,0.42364,0.31545,1.14934,0.00339,0.00689,0.77487,0.54713,0.63423,0.33118,0,0,0,0,1.88364,0,2.26542,0.9983,0.00436,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,27430.8,2.08271,0.42432,0.31665,1.14998,0.00341,0.0063,0.77726,0.54703,0.63454,0.33149,0,0,0,0,1.88252,0,2.26675,0.99786,0.00435,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,27743.5,2.08964,0.41921,0.31417,1.14556,0.00343,0.00375,0.77499,0.54817,0.63469,0.33144,0,0,0,0,1.88317,0,2.26984,0.99789,0.00435,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,28054.5,2.09746,0.42091,0.31595,1.14363,0.0034,0.00483,0.77404,0.54827,0.63469,0.33141,0,0,0,0,1.88297,0,2.27098,0.99917,0.00435,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,28366.2,2.08888,0.42526,0.31463,1.14476,0.0034,0.00316,0.77475,0.54875,0.63531,0.33191,0,0,0,0,1.88141,0,2.27247,0.9995,0.00435,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,28676.5,2.08106,0.40779,0.3126,1.15573,0.00341,0.00731,0.7744,0.54875,0.63505,0.3317,0,0,0,0,1.88148,0,2.27414,0.99939,0.00435,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,28988,2.07733,0.42833,0.31704,1.13942,0.00339,0.00585,0.77326,0.54957,0.63553,0.33177,0,0,0,0,1.88172,0,2.27373,0.99886,0.00435,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,29300.7,2.10516,0.40283,0.31292,1.15204,0.0034,0.01122,0.77537,0.54847,0.63585,0.33199,0,0,0,0,1.88148,0,2.27276,0.99797,0.00435,0,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,29612.1,2.09597,0.42431,0.31813,1.14858,0.00336,0.00579,0.77229,0.55049,0.63598,0.33206,0,0,0,0,1.88105,0,2.27304,0.99775,0.00435,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,29923.1,2.07667,0.42076,0.3115,1.13018,0.00339,0.00561,0.77453,0.54912,0.63577,0.33207,0,0,0,0,1.88013,0,2.27301,0.99821,0.00435,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,30233.4,2.0681,0.414,0.30863,1.13342,0.00342,0.00437,0.77332,0.54874,0.6353,0.3321,0,0,0,0,1.8798,0,2.27649,0.99825,0.00435,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,30545.6,2.08834,0.41281,0.31375,1.13856,0.00336,0.00371,0.77269,0.54912,0.63545,0.33241,0,0,0,0,1.87934,0,2.27774,0.99786,0.00434,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,30857.3,2.08574,0.4076,0.30884,1.14313,0.00337,0.00498,0.77273,0.54968,0.63553,0.33249,0,0,0,0,1.87826,0,2.28101,0.99866,0.00434,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
