epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,22312.5,1.96968,0.33541,0.28752,1.04989,0.00313,0.00174,0.77373,0.58452,0.6739,0.36144,0,0,0,0,1.8014,0,2.35779,0.91902,0.00412,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,22639.1,1.98453,0.34232,0.28647,1.0541,0.0031,0.00314,0.77438,0.58495,0.67415,0.36203,0,0,0,0,1.79897,0,2.37129,0.9189,0.00412,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,22973.4,1.9667,0.3293,0.28596,1.04578,0.00307,0.00644,0.77311,0.58703,0.67515,0.36228,0,0,0,0,1.79669,0,2.35867,0.91977,0.00411,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,23304.5,1.97321,0.33791,0.28463,1.04679,0.00309,0.00763,0.77668,0.58313,0.67442,0.36213,0,0,0,0,1.79621,0,2.35145,0.92081,0.0041,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,23634.4,1.96439,0.33301,0.28594,1.03779,0.00311,0.00397,0.77569,0.58318,0.6747,0.36229,0,0,0,0,1.79578,0,2.3464,0.92106,0.0041,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,23967.4,1.9661,0.33143,0.27842,1.03967,0.00308,0.00487,0.7744,0.58495,0.67556,0.36249,0,0,0,0,1.79523,0,2.37105,0.92102,0.0041,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,24300.3,1.98447,0.33691,0.28831,1.04577,0.0031,0.0044,0.77395,0.58512,0.67606,0.36314,0,0,0,0,1.79472,0,2.37786,0.91989,0.0041,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,24638.4,1.97136,0.32808,0.27942,1.0348,0.00306,0.00408,0.77338,0.58615,0.67595,0.363,0,0,0,0,1.79437,0,2.37963,0.91801,0.0041,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,24970.4,1.97549,0.33095,0.28248,1.03709,0.00306,0.00539,0.77618,0.58524,0.6761,0.36385,0,0,0,0,1.79249,0,2.36713,0.91789,0.00409,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,25304.4,1.96754,0.32861,0.28083,1.03144,0.00305,0.00231,0.77606,0.58623,0.67658,0.3641,0,0,0,0,1.79222,0,2.37351,0.91636,0.00409,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,25643,1.96714,0.32629,0.28003,1.03239,0.00304,0.00275,0.77766,0.58547,0.67655,0.36415,0,0,0,0,1.79364,0,2.38246,0.91565,0.0041,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,25975.3,1.96435,0.32248,0.28214,1.02657,0.00304,0.00352,0.77367,0.58746,0.6771,0.36394,0,0,0,0,1.79378,0,2.38817,0.91478,0.00409,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,26311.6,1.96136,0.32158,0.27475,1.03515,0.0031,0.00255,0.77589,0.58729,0.67734,0.3641,0,0,0,0,1.79286,0,2.39878,0.91505,0.00409,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,26643.9,1.97105,0.32221,0.28013,1.04358,0.00308,0.00128,0.77394,0.58794,0.67745,0.36471,0,0,0,0,1.79064,0,2.40552,0.91481,0.00409,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,26967.5,1.94212,0.32095,0.27415,1.0201,0.00304,0.0018,0.77656,0.58623,0.67695,0.36412,0,0,0,0,1.79111,0,2.41265,0.9153,0.00409,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,27298.1,1.95031,0.33094,0.27192,1.02158,0.00306,0.00452,0.77615,0.58719,0.67754,0.36435,0,0,0,0,1.79115,0,2.41709,0.91442,0.00409,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,27617.7,1.9598,0.32433,0.27391,1.03573,0.00303,0.00255,0.77699,0.58741,0.67825,0.36486,0,0,0,0,1.79121,0,2.41359,0.91374,0.00409,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,27937.6,1.94219,0.31989,0.27022,1.02162,0.00304,0.00222,0.77856,0.58699,0.67826,0.36466,0,0,0,0,1.79142,0,2.42004,0.91342,0.00409,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,28262.1,1.95404,0.32437,0.27241,1.01914,0.00302,0.0038,0.78287,0.58626,0.67895,0.36501,0,0,0,0,1.79057,0,2.43026,0.91301,0.00409,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,28588.5,1.93632,0.32728,0.27199,1.01783,0.00303,0.00592,0.78294,0.58595,0.67911,0.36499,0,0,0,0,1.79009,0,2.42566,0.91357,0.00409,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,28909.4,1.94614,0.32182,0.2671,1.01464,0.00306,0.00083,0.78157,0.58724,0.67953,0.36498,0,0,0,0,1.79052,0,2.42648,0.91358,0.00409,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,29230.4,1.94608,0.32444,0.26969,1.01575,0.00302,0.00489,0.78212,0.58704,0.67955,0.36523,0,0,0,0,1.79062,0,2.43197,0.91366,0.00409,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,29549.9,1.9449,0.32138,0.26923,1.02029,0.00302,0.00065,0.78334,0.58685,0.67986,0.36547,0,0,0,0,1.79063,0,2.43584,0.9136,0.00409,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,29874.2,1.92734,0.31168,0.26712,1.02554,0.00301,0.00534,0.78261,0.58776,0.68043,0.36552,0,0,0,0,1.7909,0,2.43838,0.91273,0.00409,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,30196.2,1.93263,0.32799,0.26877,1.01079,0.00302,0.00308,0.78258,0.58801,0.6808,0.36625,0,0,0,0,1.79032,0,2.44127,0.91245,0.00409,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,30518.9,1.96151,0.30902,0.26436,1.02996,0.00302,0.00682,0.78339,0.58804,0.68095,0.36624,0,0,0,0,1.79007,0,2.44644,0.91316,0.00408,0,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,30837,1.94411,0.32392,0.27064,1.01929,0.00298,0.00551,0.78287,0.58888,0.68116,0.36582,0,0,0,0,1.79014,0,2.45134,0.91236,0.00409,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,31157.3,1.92585,0.32376,0.26678,1.00672,0.00301,0.00246,0.78202,0.58875,0.68086,0.36556,0,0,0,0,1.79001,0,2.45322,0.91255,0.00409,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,31476.8,1.91738,0.31944,0.25979,1.00029,0.00302,0.0042,0.78234,0.58865,0.68072,0.36546,0,0,0,0,1.79068,0,2.45783,0.91263,0.00409,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,31804.1,1.93771,0.31567,0.26572,1.01088,0.00297,0.00268,0.78165,0.58938,0.68106,0.36548,0,0,0,0,1.79061,0,2.46112,0.91312,0.00409,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,32123.8,1.93233,0.30935,0.26261,1.0138,0.00298,0.00057,0.78197,0.58938,0.68134,0.3656,0,0,0,0,1.79103,0,2.46468,0.9124,0.00409,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
