epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,28535.4,1.88902,0.25299,0.25975,0.98481,0.00296,-2.27408,0.77584,0.58285,0.671,0.35778,0,0,0,0,1.81564,0,1.93597,0.92698,0.00421,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,28860.1,1.88811,0.25547,0.26359,0.98808,0.00293,-2.28342,0.77712,0.58225,0.67091,0.35758,0,0,0,0,1.81662,0,1.93835,0.92626,0.00421,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,29183.6,1.8881,0.25524,0.26297,0.99035,0.00293,-2.33354,0.77746,0.58285,0.67126,0.35792,0,0,0,0,1.81625,0,1.9386,0.92615,0.00421,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,29507.6,1.8775,0.24788,0.26281,0.99216,0.00294,-2.35374,0.77814,0.58311,0.67167,0.35789,0,0,0,0,1.81676,0,1.93832,0.92546,0.00421,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,29828.1,1.87683,0.26217,0.2638,0.97637,0.00294,-2.3552,0.77804,0.5826,0.67181,0.35766,0,0,0,0,1.81664,0,1.93832,0.92524,0.00421,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,30156.8,1.90118,0.24316,0.26179,0.99754,0.00293,-2.37101,0.78121,0.58149,0.67187,0.35784,0,0,0,0,1.81648,0,1.9373,0.92433,0.00421,0,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,30484,1.88864,0.25969,0.26637,0.99333,0.00289,-2.3628,0.77976,0.58306,0.67223,0.35795,0,0,0,0,1.8168,0,1.93783,0.92366,0.00421,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,30809.2,1.87473,0.25449,0.26312,0.97189,0.00293,-2.34361,0.77918,0.58316,0.67233,0.35769,0,0,0,0,1.81757,0,1.93593,0.92342,0.00421,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,31130.3,1.86542,0.24913,0.25672,0.97305,0.00295,-2.35757,0.77873,0.58306,0.67231,0.35766,0,0,0,0,1.81786,0,1.93374,0.92364,0.00421,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,31454.6,1.88486,0.25139,0.26574,0.97952,0.00289,-2.38243,0.77897,0.58326,0.67247,0.35774,0,0,0,0,1.81825,0,1.93348,0.92357,0.00421,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
